"which are the varieties of rice that can be cultivated in palliyals land region as the first crop?""","for short durations :Rohini, Annapoorna, Matta Triveni, Jyothi, Kairali, Kanchana, Harsha, Karthika, Ahalya, Prathyasa and for medium durations : aswathy , bharathi ,jaya , aiswarya , athira and for lond durations : mashuri",,
"which are the varieties of rice that can be cultivated in double crop wet land region as the first crop?""","for short durations: Matta Triveni, Annapoorna, Jyothi, Aruna,
Makom, Swarnaprabha, Ahalya, Varsha, Rohini, Karthika,
Revathi, Remanika, Krishnanjana, Kanchana, Harsha, Kairali,
Kunjukunju Varna, Kunjukunju Priya, Prathyasa and for medium duations : Aswathy, Sabari, Bharathy, Jaya, Arathy,
Remya, Kanakom, Ranjini, Pavithra, Panchami, Uma, Aathira,
Aiswarya, Pavizham, Bhadra and for long duration : mahsuri",,
"which are the types of rice varieties that can be cultivated in puncha season in kuttanad land region?""","Short duration : Karthika, Makom, Jyothi,
Matta Triveni, Annapoorna, Revathi, Remanika,
Krishnanjana, Prathyasa
Medium duration : Kanakom, Jaya, Sabari, Bharathy, Ranjini,
Pavithra, Panchami, Uma, Gouri, Bhadra, Asha, Pavizham, Sreya",,
"which are the types of rice varieties that can be cultivated in kari soils ?"""," Short duration : Krishnanjana, Vyttila 6
 Medium duration : Uma, Vyttila 2",,
"which are the types of rice varieties that can be cultivated in kole area in mundakan season ?"""," Extra short duration : Hraswa
Short duration : Karthika, Makom, Aruna, Jyothi, Onam,
Bhagya, Matta Triveni, Annapoorna, Revathi, Remanika,
Krishnanjana, Ahalya, Varsha, Swarnaprabha, Kanchana,
Kairali, Manupriya, Prathyasa
Medium duration : Pavizham, Remya, Kanakom, Jaya,
Ranjini, Pavithra, Panchami, Uma, Bhadra, Aswathy, Sabari,
Bharathy and Aiswarya",,
"which are the types of rice varieties that can be cultivated in pokkali area?""","Vyttila-1, Vyttila-2, Vyttila-3, Vyttila-4,Vyttila-5,Vyttila-6,
Vyttila-7, Vyttila-8, Vyttila-9",,
"which are the types of rice varieties that can be cultivated in deep ill drained regions of southern as first crop ?""","remya , arathi , uma",,
"which are the types of rice varieties that can be cultivated in water logged and flooded areas ?""","first crop :IR-5, Pankaj, Jagannath, H4, Mahsuri, Neeraja, Mangala Mahsuri and for second crop : sagara , amritha",,
"which are the types of rice varieties that can be cultivated in chittoor black soil?""","First crop ASD 16, ASD 17, Mahsuri, Varsha, ADT 43, Ranjini
Second crop: Ponni, Vellaponni, Ponmani, ASD 16, ASD 17, Pranava,
Karuna, Swetha, Bhadra",,
"Hello""",Hi there! How can I help you today?,,
"Good morning""",Good morning! What can I assist you with?,,
"Hey there""",Hello! What can I do for you today?,,
"Hi""",Hello! How may I assist you?,,
"Greetings""",Hello! What can I help you with today?,,
"Namaste""",Namaste! How can I assist you today?,,
"Welcome""",Thank you! What can I do for you today?,,
"Hi there!""",Hello! How can I assist you?,,
"Good day""",Good day! How can I help you today?,,
"Nice to meet you""",Nice to meet you too! What can I help you with?,,
"How are you doing?""",I'm just a chatbot but I'm here to help you with any questions you have!,,
"Hey""",Hello! What can I do for you today?,,
"What's up?""",Not much but I'm here to answer any questions you have!,,
"Good afternoon""",Good afternoon! What can I assist you with today?,,
"G'day""",G'day! How can I help you today?,,
"Greetings and salutations""",Hello! What can I help you with today?,,
"Good afternoon""",Good afternoon! How can I assist you today?,,
"Hello""", good afternoonHello! What can I help you with today?,,
"Afternoon""",Hi there! How can I help you this afternoon?,,
"Good day""", good afternoon!Good day to you too! What can I help you with?,,
"Hey""", good afternoon!Good afternoon! How can I assist you today?,,
"Warm afternoon greetings""",Hello! What can I assist you with this afternoon?,,
"Good afternoon""", how can I assist you?I'm here to help you with any questions you have!,,
"Hello""", how's your afternoon going?As a chatbot I don't experience time or weather but I'm here to help you with any questions you have!,,
"Afternoon""", how can I help you today?I'm here to assist you with any questions you have this afternoon!,,
"Hi""", good afternoon!Good afternoon! How can I assist you today?,,
"Good afternoon""", what can I help you with?I'm here to assist you with any questions you have this afternoon!,,
"Hey there""", how can I help you this afternoon?I'm here to help you with any questions you have!,,
"Afternoon""", what brings you here today?I'm here to assist you with any questions you have this afternoon!,,
"Good afternoon""", how may I assist you?I'm here to help you with any questions you have this afternoon!,,
"Hi there""", what can I help you with this afternoon?I'm here to assist you with any questions you have!,,
"Good day""", how can I assist you this afternoon?I'm here to help you with any questions you have!,,
"Hello""", what brings you to my chat today?I'm here to assist you with any questions you have this afternoon!,,
"Afternoon""", how's it going?As a chatbot I don't experience time or weather but I'm here to help you with any questions you have!,,
"Good evening""",Good evening! How can I assist you today?,,
"Hello""", good eveningHello! What can I help you with this evening?,,
"Evening""",Hi there! How can I help you this evening?,,
"Good day""", good evening!Good day to you too! What can I help you with?,,
"Hey""", good evening!Good evening! How can I assist you today?,,
"Warm evening greetings""",Hello! What can I assist you with this evening?,,
"Good evening""", how can I assist you?I'm here to help you with any questions you have this evening!,,
"Hello""", how's your evening going?As a chatbot I don't experience time or weather but I'm here to help you with any questions you have this evening!,,
"Evening""", how can I help you today?I'm here to assist you with any questions you have this evening!,,
"Good night""",Good night! Have a great sleep!,,
"Hey""", good night!Good night! Sleep well.,,
"Goodbye""", sleep well!Goodbye! Sleep tight.,,
"Night""",Hi! Have a good night's sleep.,,
"Good night""", sweet dreams!Good night! Sweet dreams.,,
"Sleep well""",Good night! Sleep well.,,
"See you tomorrow""",Good night! See you soon.,,
"Good night""", how was your day?As a chatbot I don't experience time or weather but I'm here to help you with any questions you have!,,
"What are the common diseases that affect rice cultivation?""",Blast sheath blight brown spot bacterial leaf blight tungro are some of the common diseases that affect rice cultivation globally.,,
