location,contact info
Amboori,for more info contact 9383470109 kbamboortvm.agri@kerala.gov.in
Arayancode,for more info contact 9383470112 kbarycodtvm.agri@kerala.gov.in
Kallikadu,for more info contact 9383470113 kbkalkadtvm.agri@kerala.gov.in
Kollayil,for more info contact 9383470114 kbkolayltvm.agri@kerala.gov.in
Kunnathukal,for more info contact 9383470115 kbkunkaltvm.agri@kerala.gov.in
Ottasekharamangalam for more info contact 9383470116 kbotsmgmtvm.agri@kerala.gov.in
Perumkadavila,for more info contact 9383470117 kbpmkvlatvm.agri@kerala.gov.in
Perumpazhuthoorfor more info contact 9383470118 kbprmpzrtvm.agri@kerala.gov.in
Vellarada,for more info contact 9383470119 kbvlardatvm.agri@kerala.gov.in
Anchuthengu, for more info contact 9383470179 kbanchgutvm.agri@kerala.gov.in
